"","Game","Genre","Year","Month","Earnings","Players","Tournaments","Rank","Hours_watched","Hours_Streamed","Peak_viewers","Peak_channels","Streamers","Avg_viewers","Avg_channels","Avg_viewer_ratio"
"796","League of Legends","Multiplayer Online Battle Arena",2016,3,299620.13,343,23,1,94514511,1264029,599114,2585,117734,127206,1701,74.77
"797","League of Legends","Multiplayer Online Battle Arena",2016,4,1459231.04,561,24,1,88389049,1217250,553165,2945,113251,122933,1692,72.61
"798","League of Legends","Multiplayer Online Battle Arena",2016,5,517405.11,145,11,1,80679320,1196096,433005,2635,118593,108585,1609,67.45
"799","League of Legends","Multiplayer Online Battle Arena",2016,6,42758.81,101,8,1,81348505,1037242,346059,2131,102620,113141,1442,78.43
"800","League of Legends","Multiplayer Online Battle Arena",2016,7,250137.61,327,23,1,77871713,1004238,296196,2089,105041,104807,1351,77.54
"801","League of Legends","Multiplayer Online Battle Arena",2016,8,1496842.81,518,23,1,81684707,1097258,502181,2177,105795,109939,1476,74.44
"802","League of Legends","Multiplayer Online Battle Arena",2016,9,25015.83,49,7,1,81064642,1087244,711103,2493,110946,112746,1512,74.56
"803","League of Legends","Multiplayer Online Battle Arena",2016,10,5144753.33,212,13,1,104305242,1155966,952308,2591,111071,140383,1555,90.23
"804","League of Legends","Multiplayer Online Battle Arena",2016,11,715492.4,381,21,1,76730765,1127714,263539,2903,103085,106718,1568,68.04
"805","League of Legends","Multiplayer Online Battle Arena",2016,12,289012.25,227,16,1,81349398,1241696,323032,2562,36118,109487,1671,65.51
"806","League of Legends","Multiplayer Online Battle Arena",2017,1,68853.59,43,6,1,99332369,1363324,379399,2868,129423,133690,1834,72.86
"807","League of Legends","Multiplayer Online Battle Arena",2017,2,183747.37,133,9,1,99415477,1209135,386334,2770,114317,148160,1801,82.22
"808","League of Legends","Multiplayer Online Battle Arena",2017,3,216050.36,247,15,1,90835130,1189566,325835,2465,96112,122254,1601,76.36
"809","League of Legends","Multiplayer Online Battle Arena",2017,4,1871231.04,669,28,1,82852693,1179314,489683,2540,97370,115233,1640,70.25
"810","League of Legends","Multiplayer Online Battle Arena",2017,5,1807274.76,214,10,1,87929525,1231374,647413,2498,121711,118343,1657,71.41
"811","League of Legends","Multiplayer Online Battle Arena",2017,6,207260.6,123,7,1,84467396,1149523,280837,2330,116484,117478,1598,73.48
"812","League of Legends","Multiplayer Online Battle Arena",2017,7,369124.31,417,18,1,84734733,1301262,326063,2481,125411,114044,1751,65.12
"813","League of Legends","Multiplayer Online Battle Arena",2017,8,801587.34,526,26,2,72054710,1260651,343402,2668,121195,96978,1696,57.16
"814","League of Legends","Multiplayer Online Battle Arena",2017,9,1203578.05,310,17,1,74422199,1229324,377429,2620,118820,103507,1709,60.54
"815","League of Legends","Multiplayer Online Battle Arena",2017,10,21632.34,139,11,1,94680105,1322094,873340,2848,125262,127429,1779,71.61
"816","League of Legends","Multiplayer Online Battle Arena",2017,11,5151883.88,405,21,1,82917485,1342443,1084257,2869,130486,115323,1867,61.77
"817","League of Legends","Multiplayer Online Battle Arena",2017,12,332063.58,353,22,1,68756773,1385791,324792,3235,137669,92539,1865,49.62
"818","League of Legends","Multiplayer Online Battle Arena",2018,1,197560.6,80,9,1,89024896,1774648,435859,4809,165074,119818,2388,50.16
"819","League of Legends","Multiplayer Online Battle Arena",2018,2,112339.52,141,12,1,81115898,1565610,305040,3531,145155,120888,2333,51.81
"820","League of Legends","Multiplayer Online Battle Arena",2018,3,517646.78,311,21,2,88820363,1589810,362400,3212,147060,119542,2139,55.87
"821","League of Legends","Multiplayer Online Battle Arena",2018,4,1985731.38,665,27,2,74263170,1459786,476710,3849,138062,103286,2030,50.87
"822","League of Legends","Multiplayer Online Battle Arena",2018,5,1503802.19,206,8,2,82088339,1442403,504394,2820,140412,110482,1941,56.91
"823","League of Legends","Multiplayer Online Battle Arena",2018,6,176735.46,252,14,2,72491544,1327229,241343,3310,136011,100822,1845,54.62
"824","League of Legends","Multiplayer Online Battle Arena",2018,7,516346.85,408,16,2,75783584,1363386,229347,2772,138178,101996,1834,55.58
"825","League of Legends","Multiplayer Online Battle Arena",2018,8,451389.27,332,17,2,81349939,1475806,1029879,2773,144072,109488,1986,55.12
"826","League of Legends","Multiplayer Online Battle Arena",2018,9,1937339.85,741,19,2,76553910,1513086,412412,3123,144060,106472,2104,50.59
"827","League of Legends","Multiplayer Online Battle Arena",2018,10,136077.7,305,14,2,109191567,1632742,911568,3439,152293,146960,2197,66.88
"828","League of Legends","Multiplayer Online Battle Arena",2018,11,6680982.54,362,15,2,82622624,1664025,1147825,4981,164208,114913,2314,49.65
"829","League of Legends","Multiplayer Online Battle Arena",2018,12,383063.25,344,17,2,72074851,1762468,341821,3480,174717,97005,2372,40.89
"830","League of Legends","Multiplayer Online Battle Arena",2019,1,160589.23,146,7,2,98976171,2245379,400257,6079,197058,133211,3022,44.08
"831","League of Legends","Multiplayer Online Battle Arena",2019,2,113635.6,99,7,2,94991296,1779043,387330,4518,167824,141566,2651,53.39
"832","League of Legends","Multiplayer Online Battle Arena",2019,3,227523.37,410,18,1,108481064,1966064,369522,3947,172418,146004,2646,55.18
"833","League of Legends","Multiplayer Online Battle Arena",2019,4,2237317.84,934,39,2,92428052,1978924,548157,4008,172848,128550,2752,46.71
"834","League of Legends","Multiplayer Online Battle Arena",2019,5,539300.94,310,18,2,102843574,2119997,816163,4081,181289,138416,2853,48.51
"835","League of Legends","Multiplayer Online Battle Arena",2019,6,167212.06,350,21,2,89156672,1982483,318559,3915,184010,124000,2757,44.97
"836","League of Legends","Multiplayer Online Battle Arena",2019,7,235608.22,306,16,3,68210459,1803517,280370,3413,179936,91804,2427,37.82
"837","League of Legends","Multiplayer Online Battle Arena",2019,8,944489.3,643,27,2,86094493,1977780,455329,5256,187707,115874,2661,43.53
"838","League of Legends","Multiplayer Online Battle Arena",2019,9,1475361.56,578,23,2,77579176,1977556,650591,4454,182545,107898,2750,39.23
"839","League of Legends","Multiplayer Online Battle Arena",2019,10,59168.4,176,12,1,125658644,2204626,1100440,5944,195507,169123,2967,57
"840","League of Legends","Multiplayer Online Battle Arena",2019,11,2399300.98,317,11,1,95436703,2126093,1782765,4512,200004,132735,2957,44.89
"841","League of Legends","Multiplayer Online Battle Arena",2019,12,1052347.24,179,8,2,78579242,2302186,223571,6392,211766,105759,3098,34.13
"842","League of Legends","Multiplayer Online Battle Arena",2020,1,214322.5,173,4,1,99657869,2953365,349964,8083,237426,134129,3974,33.74
"843","League of Legends","Multiplayer Online Battle Arena",2020,2,207708.6,129,6,1,121635889,2549292,412216,7253,211492,175015,3668,47.71
"844","League of Legends","Multiplayer Online Battle Arena",2020,3,211653.99,351,16,1,123599885,3062720,421581,8390,252555,166352,4122,40.36
"845","League of Legends","Multiplayer Online Battle Arena",2020,4,1107995.59,453,14,3,135859472,3461495,727437,8802,243651,188956,4814,39.25
"846","League of Legends","Multiplayer Online Battle Arena",2020,5,1542342.93,444,14,3,127698472,3517695,504630,8347,245122,171868,4734,36.3
"847","League of Legends","Multiplayer Online Battle Arena",2020,6,5987.09,41,3,2,143290296,2997392,556963,7519,215394,199291,4168,47.8
"848","League of Legends","Multiplayer Online Battle Arena",2020,7,46241.22,96,7,2,135123272,3248650,494759,7246,223201,181861,4372,41.59
"849","League of Legends","Multiplayer Online Battle Arena",2020,8,1081190.81,615,19,2,142551572,3250969,707347,7440,229635,191859,4375,43.85
"850","League of Legends","Multiplayer Online Battle Arena",2020,9,1241418.75,360,10,3,135008222,3174675,794857,6737,230335,187772,4415,42.53
"851","League of Legends","Multiplayer Online Battle Arena",2020,10,2443818.01,203,7,2,171613067,3367157,2020835,8520,246211,230973,4531,50.97
"852","League of Legends","Multiplayer Online Battle Arena",2020,11,400008.7,158,7,2,121085351,3392709,345045,8877,254028,168407,4718,35.69
"853","League of Legends","Multiplayer Online Battle Arena",2020,12,30728.38,102,6,3,96413165,3297197,318449,7979,247003,129761,4437,29.24
"854","League of Legends","Multiplayer Online Battle Arena",2021,1,254365.56,89,3,3,170781975,4354400,689503,11606,294795,229854,5860,39.22
"855","League of Legends","Multiplayer Online Battle Arena",2021,2,4327.29,20,2,2,150221076,3665750,703375,9687,268439,223876,5463,40.98
"856","League of Legends","Multiplayer Online Battle Arena",2021,3,288836.05,448,18,3,149786518,3766997,853781,9222,268051,201596,5069,39.76
"857","League of Legends","Multiplayer Online Battle Arena",2021,4,1821767.76,310,14,3,156994170,3592720,906631,8333,260952,218350,4996,43.7
"858","League of Legends","Multiplayer Online Battle Arena",2021,5,566876.25,197,8,3,174012672,3516137,1257320,7697,251261,234202,4732,49.49
"859","League of Legends","Multiplayer Online Battle Arena",2021,6,14483.36,45,3,3,147594315,3053763,708943,6443,220621,205277,4247,48.33
"860","League of Legends","Multiplayer Online Battle Arena",2021,7,62610.72,100,4,3,134363514,2961094,511589,6029,215610,180839,3985,45.38
"861","League of Legends","Multiplayer Online Battle Arena",2021,8,912566.74,301,11,3,138132735,2964379,931796,5614,215239,185912,3989,46.6
"862","League of Legends","Multiplayer Online Battle Arena",2021,9,1177920,199,9,3,107406590,2723708,618086,5548,201351,149383,3788,39.43
"863","League of Legends","Multiplayer Online Battle Arena",2021,10,130269.4,74,6,2,208574800,2489811,2364918,5375,185819,280719,3351,83.77
"864","League of Legends","Multiplayer Online Battle Arena",2021,11,2355775.91,229,6,3,102612188,2420283,3082772,5280,192692,142715,3366,42.4
"865","League of Legends","Multiplayer Online Battle Arena",2021,12,89126,65,4,4,95180552,2465988,591381,5291,194521,128103,3318,38.6
"866","League of Legends: Wild Rift","Multiplayer Online Battle Arena",2021,6,150000,96,1,87,2143758,99331,12176,268,7346,2981,138,21.58
"867","League of Legends: Wild Rift","Multiplayer Online Battle Arena",2021,9,179288,26,1,90,2226079,76621,20900,199,5640,3096,106,29.05
"868","League of Legends: Wild Rift","Multiplayer Online Battle Arena",2021,10,195000,67,1,116,1475302,85426,28496,229,6121,1985,114,17.27
"869","League of Legends: Wild Rift","Multiplayer Online Battle Arena",2021,11,5e+05,52,1,84,2561182,92968,60430,211,6887,3562,129,27.55
"870","Legends of Runeterra","Collectible Card Game",2020,3,13203.89,6,2,65,1770502,43659,12716,124,5571,2382,58,40.55
"871","Legends of Runeterra","Collectible Card Game",2020,5,1e+05,16,2,35,5807100,124499,55832,333,13640,7815,167,46.64
"872","Legends of Runeterra","Collectible Card Game",2020,6,5277.14,8,1,59,2495908,63241,13967,193,6183,3471,87,39.47
"873","Legends of Runeterra","Collectible Card Game",2021,8,1700,3,1,106,2071073,32491,18828,204,3181,2787,43,63.74
"874","Legends of Runeterra","Collectible Card Game",2021,9,2e+05,16,1,104,1796977,28827,35994,84,2935,2499,40,62.34
"875","Madden NFL 19","Sports",2018,12,25000,1,1,77,1234218,155781,21824,581,24712,1661,209,7.92
"876","Madden NFL 19","Sports",2019,3,15000,2,1,81,926477,126464,16348,515,18330,1246,170,7.33
"877","Madden NFL 19","Sports",2019,4,85000,3,1,68,1305221,92388,96944,396,14677,1815,128,14.13
"878","Marvel vs. Capcom: Infinite","Fighting Game",2017,9,2930,11,2,34,2042412,14939,47255,213,3997,2840,20,136.72
"879","Marvel vs. Capcom: Infinite","Fighting Game",2017,10,990,3,1,61,924143,10233,21306,55,2830,1243,13,90.31
"880","Marvel vs. Capcom: Infinite","Fighting Game",2017,11,200,3,1,111,408978,5134,11640,23,1482,568,7,79.66
"881","Marvel vs. Capcom: Infinite","Fighting Game",2017,12,63630,18,2,109,450974,5865,17596,53,1688,606,7,76.89
"882","Melty Blood: Type Lumina","Fighting Game",2021,10,2004.59,8,1,148,909798,39893,16180,445,5129,1224,53,22.81
"883","Minecraft","Multiplayer Online Battle Arena",2018,12,4839.15,10,3,25,6397637,296581,35755,769,49820,8610,399,21.57
"884","Minecraft","Multiplayer Online Battle Arena",2019,6,10000,2,1,13,17073543,679219,209184,1577,110794,23746,944,25.14
"885","Minecraft","Multiplayer Online Battle Arena",2019,7,50000,9,5,12,18730470,1096565,152011,2547,172853,25209,1475,17.08
"886","Minecraft","Multiplayer Online Battle Arena",2019,8,40000,7,4,9,32739148,1301621,233472,2979,202798,44063,1751,25.15
"887","Minecraft","Multiplayer Online Battle Arena",2019,9,30000,4,3,8,23589113,1010450,176485,2955,164966,32808,1405,23.35
"888","Minecraft","Multiplayer Online Battle Arena",2020,7,96200,32,2,7,52864781,2081006,443809,4437,248121,71150,2800,25.4
"889","Minecraft","Multiplayer Online Battle Arena",2020,8,198500,49,2,9,40361660,1942298,374683,4520,244197,54322,2614,20.78
"890","Mortal Kombat 11","Fighting Game",2019,4,750,6,1,19,6832396,130963,202719,2195,30095,9502,182,52.17
"891","Mortal Kombat 11","Fighting Game",2019,5,61912.97,39,6,27,5187479,138089,71130,640,30189,6981,185,37.57
"892","Mortal Kombat 11","Fighting Game",2019,6,25532.35,31,4,65,1696483,64159,63977,238,14860,2359,89,26.44
"893","Mortal Kombat 11","Fighting Game",2019,7,90542.99,67,9,69,1015656,47819,17489,170,9500,1366,64,21.24
"894","Mortal Kombat 11","Fighting Game",2019,8,31770,24,3,66,1471805,43928,67732,170,7834,1980,59,33.5
"895","Mortal Kombat 11","Fighting Game",2019,9,33859.1,38,6,107,573304,28563,14872,91,5101,797,39,20.07
"896","Mortal Kombat 11","Fighting Game",2019,10,35223.99,34,3,84,859642,33641,20082,185,5950,1156,45,25.55
"897","Mortal Kombat 11","Fighting Game",2019,11,13743.28,22,4,115,577756,27754,9874,149,5000,803,38,20.82
"898","Mortal Kombat 11","Fighting Game",2019,12,15900,16,1,143,461102,28949,13619,74,5395,620,38,15.93
"899","Mortal Kombat 11","Fighting Game",2020,1,10980,39,2,115,735165,34110,32046,226,6454,989,45,21.55
"900","Mortal Kombat 11","Fighting Game",2020,2,10000,32,1,139,557570,31278,13984,107,5780,802,45,17.83
"901","Mortal Kombat 11","Fighting Game",2020,3,1e+05,16,1,90,1090406,41163,44425,262,7703,1467,55,26.49
"902","Mortal Kombat 11","Fighting Game",2020,10,538,4,1,151,824285,52152,21905,160,6551,1109,70,15.81
"903","Mortal Kombat 11","Fighting Game",2020,11,741.57,8,1,109,1293205,72425,24474,375,9044,1798,100,17.86
"904","Mortal Kombat 11","Fighting Game",2020,12,60000,12,1,119,1246965,65024,18466,204,8410,1678,87,19.18
"905","Mortal Kombat 11","Fighting Game",2021,1,528.91,3,1,138,1070881,64856,25101,173,8600,1441,87,16.51
"906","Mortal Kombat 11","Fighting Game",2021,3,50000,8,1,149,1168460,61754,15310,167,8586,1572,83,18.92
"907","Mortal Kombat 11","Fighting Game",2021,6,453.72,3,1,166,845389,59145,17200,171,8658,1175,82,14.29
"908","Mortal Kombat X","Fighting Game",2016,1,72310,8,3,57,731382,30275,31993,87,7840,984,40,24.16
"909","Mortal Kombat X","Fighting Game",2016,2,80,6,2,70,468326,23344,18537,88,6517,673,33,20.06
"910","Mortal Kombat X","Fighting Game",2016,3,2565,13,6,54,881916,42941,13131,235,12530,1186,57,20.54
"911","Mortal Kombat X","Fighting Game",2016,4,659.29,6,3,58,619352,27824,19478,101,7296,861,38,22.26
"912","Mortal Kombat X","Fighting Game",2016,5,12935.7,17,4,56,605739,24126,21265,79,6764,815,32,25.11
"913","Mortal Kombat X","Fighting Game",2016,6,2e+05,8,1,54,563266,20948,26288,63,5863,783,29,26.89
"914","Mortal Kombat X","Fighting Game",2016,9,500,3,1,80,332222,15967,6981,49,4583,462,22,20.81
"915","Mortal Kombat X","Fighting Game",2016,11,1080,2,1,136,182956,13359,5039,42,3309,254,18,13.7
"916","Mortal Kombat X","Fighting Game",2019,1,480,3,1,165,429288,22646,14009,75,7815,577,30,18.96
"917","NBA 2K18","Sports",2018,5,1e+05,36,1,50,1673397,114198,17632,341,20414,2252,153,14.65
"918","NBA 2K18","Sports",2018,6,150000,48,1,42,2288324,124247,21697,377,21132,3182,172,18.42
"919","NBA 2K18","Sports",2018,7,150000,48,1,41,2465312,131990,30176,400,22472,3318,177,18.68
"920","NBA 2K18","Sports",2018,8,6e+05,48,1,51,1540838,110474,61960,356,20172,2073,148,13.95
"921","NBA 2K21","Sports",2020,10,501,3,1,31,8548457,572279,91190,1798,48295,11505,770,14.94
"922","NHL 19","Sports",2019,5,700,1,1,99,786792,12444,68553,49,3721,1058,16,63.23
"923","osu!","First-Person Shooter",2016,2,1900,17,1,63,579657,64372,5164,180,13119,834,92,9
"924","osu!","First-Person Shooter",2016,9,1900,169,1,68,427259,60171,2990,171,13550,594,83,7.1
"925","osu!","First-Person Shooter",2016,12,4320,245,1,79,613752,67760,12721,175,4542,826,91,9.06
"926","osu!","First-Person Shooter",2017,2,1620,86,1,80,589139,70532,15803,214,14754,878,105,8.35
"927","osu!","First-Person Shooter",2017,7,3240,18,1,96,520598,78573,7895,179,17291,700,105,6.63
"928","osu!","First-Person Shooter",2017,9,1745,185,2,83,530366,74890,8947,208,16822,737,104,7.08
"929","osu!","First-Person Shooter",2017,11,2130,23,1,89,621198,75777,12443,223,17337,863,105,8.2
"930","osu!","First-Person Shooter",2017,12,4320,255,1,90,630058,85603,18701,237,19512,847,115,7.36
"931","osu!","First-Person Shooter",2018,3,1080,12,1,91,635557,103424,14877,277,22513,855,139,6.15
"932","osu!","First-Person Shooter",2018,5,1525,18,2,85,765148,112082,12049,268,24900,1029,150,6.83
"933","osu!","First-Person Shooter",2018,7,1620,18,1,75,1084762,123865,24897,276,27119,1459,166,8.76
"934","osu!","First-Person Shooter",2018,8,500,4,1,73,1004550,134145,7207,289,29110,1352,180,7.49
"935","osu!","First-Person Shooter",2018,10,1620,18,1,87,888720,122317,9364,308,26747,1196,164,7.27
"936","osu!","First-Person Shooter",2018,11,100,3,1,82,992294,115508,9239,306,25338,1380,160,8.59
"937","osu!","First-Person Shooter",2018,12,5392,266,2,81,990500,129544,19306,313,28433,1333,174,7.65
"938","osu!","First-Person Shooter",2019,3,1080,12,1,78,1007134,145147,15916,386,29671,1355,195,6.94
"939","osu!","First-Person Shooter",2019,4,2230.11,5,1,75,1074604,139518,14439,343,29400,1494,194,7.7
"940","osu!","First-Person Shooter",2019,5,1350,15,1,83,938331,141237,11856,350,30462,1262,190,6.64
"941","osu!","First-Person Shooter",2019,8,2320,24,3,78,956052,146237,6752,322,30777,1286,196,6.54
"942","osu!","First-Person Shooter",2019,10,1620,18,1,77,925788,133433,11367,362,27351,1246,179,6.94
"943","osu!","First-Person Shooter",2019,11,5526.91,12,1,78,1010438,125614,17387,320,26161,1405,174,8.04
"944","osu!","First-Person Shooter",2019,12,4320,255,1,91,912228,132428,11559,316,28163,1227,178,6.89
"945","osu!","First-Person Shooter",2020,4,1350,15,1,114,1077344,160039,7754,369,24954,1498,222,6.73
"946","osu!","First-Person Shooter",2020,6,1620,18,1,99,1213640,179390,9802,415,27334,1687,249,6.77
"947","osu!","First-Person Shooter",2020,9,1540,17,1,104,1329748,185111,11685,468,29504,1849,257,7.18
"948","osu!","First-Person Shooter",2020,10,3143,49,2,101,1368102,182478,12846,435,29366,1841,245,7.5
"949","osu!","First-Person Shooter",2020,12,5000,256,1,106,1420666,202204,35849,436,32173,1912,272,7.03
"950","osu!","First-Person Shooter",2021,4,1350,15,1,88,2398217,241119,22655,576,41605,3335,335,9.95
"951","osu!","First-Person Shooter",2021,5,8873.08,61,2,94,2251866,238619,20317,569,40240,3030,321,9.44
"952","osu!","First-Person Shooter",2021,6,12720,37,3,95,1950173,210307,28096,522,35943,2712,292,9.27
"953","osu!","First-Person Shooter",2021,7,980,20,2,101,1806284,212647,16030,441,36478,2431,286,8.49
"954","osu!","First-Person Shooter",2021,8,2100,22,2,109,1917432,205425,20448,416,34801,2580,276,9.33
"955","osu!","First-Person Shooter",2021,9,6222.11,44,3,95,2034531,192961,18592,466,32066,2829,268,10.54
"956","osu!","First-Person Shooter",2021,10,3700,20,3,100,1766303,185162,12562,456,29739,2377,249,9.54
"957","osu!","First-Person Shooter",2021,11,5339.59,28,2,105,1821776,170589,34946,404,27796,2533,237,10.68
"958","Overwatch","First-Person Shooter",2016,2,3247.45,61,11,13,4735263,68029,94851,546,7075,6813,97,69.61
"959","Overwatch","First-Person Shooter",2016,3,9140.12,62,13,27,2735563,58336,16594,135,5321,3681,78,46.89
"960","Overwatch","First-Person Shooter",2016,4,9705.99,53,12,21,3314869,69482,38505,1129,9592,4610,96,47.71
"961","Overwatch","First-Person Shooter",2016,5,26397.62,96,11,5,22098050,834402,302141,9741,140615,29741,1123,26.48
"962","Overwatch","First-Person Shooter",2016,6,60633.61,98,26,5,30041625,1141859,105075,3428,152548,41782,1588,26.31
"963","Overwatch","First-Person Shooter",2016,7,154822.92,313,39,5,24928646,813972,82786,2220,126978,33551,1095,30.63
"964","Overwatch","First-Person Shooter",2016,8,161844.7,209,29,6,18643208,678192,92808,1740,109939,25091,912,27.49
"965","Overwatch","First-Person Shooter",2016,9,378473.63,256,27,6,15244235,624055,74964,2022,108359,21201,867,24.43
"966","Overwatch","First-Person Shooter",2016,10,363501.37,348,28,6,14653679,620097,118438,2047,95883,19722,834,23.63
"967","Overwatch","First-Person Shooter",2016,11,377891.9,429,29,5,20378464,676432,247288,2089,105104,28342,940,30.13
"968","Overwatch","First-Person Shooter",2016,12,451283.45,422,36,5,22178852,857811,90315,2288,35354,29850,1154,25.86
"969","Overwatch","First-Person Shooter",2017,1,231537,327,29,5,25700463,972764,88338,2423,149853,34590,1309,26.42
"970","Overwatch","First-Person Shooter",2017,2,70594.81,303,33,5,18544200,778498,77354,2230,120815,27636,1160,23.82
"971","Overwatch","First-Person Shooter",2017,3,108385.88,463,32,6,22579043,918777,98176,2808,102428,30389,1236,24.58
"972","Overwatch","First-Person Shooter",2017,4,317627.56,427,38,6,21200021,857974,123529,2814,99965,29485,1193,24.71
"973","Overwatch","First-Person Shooter",2017,5,68135.63,255,24,6,20539723,885655,89639,2585,140295,27644,1191,23.19
"974","Overwatch","First-Person Shooter",2017,6,198310.15,244,26,5,22749333,982803,68705,3561,148384,31640,1366,23.15
"975","Overwatch","First-Person Shooter",2017,7,822189.13,497,25,6,19496787,875038,92616,1985,135242,26240,1177,22.28
"976","Overwatch","First-Person Shooter",2017,8,177033.63,220,22,7,17443046,856247,116664,2629,131260,23476,1152,20.37
"977","Overwatch","First-Person Shooter",2017,9,182938.46,154,13,8,16746745,758045,65265,2655,111470,23291,1054,22.09
"978","Overwatch","First-Person Shooter",2017,10,1133563.8,398,19,10,14579938,729063,70145,2659,109231,19623,981,20
"979","Overwatch","First-Person Shooter",2017,11,153068.66,195,16,8,22309745,835413,329834,2057,112654,31028,1161,26.71
"980","Overwatch","First-Person Shooter",2017,12,24845.39,58,7,8,17837670,875780,85699,2399,118792,24007,1178,20.37
"981","Overwatch","First-Person Shooter",2018,1,2297.01,50,8,6,32620891,1118103,461851,2940,142342,43904,1504,29.18
"982","Overwatch","First-Person Shooter",2018,2,202248.83,225,14,8,26713493,898701,226758,2491,125449,39811,1339,29.72
"983","Overwatch","First-Person Shooter",2018,3,166192.37,207,13,5,32053648,991752,239954,2852,135198,43140,1334,32.32
"984","Overwatch","First-Person Shooter",2018,4,85483.4,181,13,7,31997018,929152,191674,3111,130461,44502,1292,34.44
"985","Overwatch","First-Person Shooter",2018,5,1065899.1,600,14,7,31493400,958542,201890,2982,135510,42386,1290,32.86
"986","Overwatch","First-Person Shooter",2018,6,1538448,500,17,8,23127738,802496,220801,1875,119586,32166,1116,28.82
"987","Overwatch","First-Person Shooter",2018,7,1703190.2,103,8,8,25211255,971524,344591,2360,131507,33931,1307,25.95
"988","Overwatch","First-Person Shooter",2018,8,490103.01,286,9,8,23090495,983482,135822,2413,137844,31077,1323,23.48
"989","Overwatch","First-Person Shooter",2018,9,1169777.84,559,12,9,20588095,903065,123275,2959,122273,28634,1256,22.8
"990","Overwatch","First-Person Shooter",2018,10,47343.89,248,9,13,16188422,847552,62487,2870,118139,21787,1140,19.1
"991","Overwatch","First-Person Shooter",2018,11,143008,119,2,7,21844731,924630,259787,2133,129623,30382,1285,23.63
"992","Overwatch","First-Person Shooter",2018,12,1800,27,1,11,16862203,968889,50545,2496,132283,22694,1304,17.4
"993","Overwatch","First-Person Shooter",2019,1,1035800.98,602,11,8,22499093,1192726,88234,2784,146158,30281,1605,18.86
"994","Overwatch","First-Person Shooter",2019,2,25685.9,27,3,7,23707822,717365,289347,2420,102530,35332,1069,33.05
"995","Overwatch","First-Person Shooter",2019,3,511801.18,135,5,8,26607780,803629,259090,1748,104627,35811,1081,33.11
"996","Overwatch","First-Person Shooter",2019,4,12893.02,18,2,8,28601463,788023,185196,2534,102724,39779,1095,36.3
"997","Overwatch","First-Person Shooter",2019,5,1956577.2,520,11,8,24738341,843717,260129,2133,106609,33295,1135,29.32
"998","Overwatch","First-Person Shooter",2019,6,191229,123,5,7,30730691,765200,163632,1652,98075,42740,1064,40.16
"999","Overwatch","First-Person Shooter",2019,7,505000,92,2,9,29237452,803728,206996,1769,101433,39350,1081,36.38
"1000","Overwatch","First-Person Shooter",2019,8,1028680.64,410,7,8,35080281,898039,156073,2813,113361,47214,1208,39.06
"1001","Overwatch","First-Person Shooter",2019,9,3811048.85,212,5,9,21867082,705530,321314,1717,92814,30413,981,30.99
"1002","Overwatch","First-Person Shooter",2019,10,381000,246,4,16,10882550,682058,55125,1902,85624,14646,917,15.96
"1003","Overwatch","First-Person Shooter",2019,11,112320,99,2,14,16078956,707451,211751,1561,86095,22362,983,22.73
"1004","Overwatch","First-Person Shooter",2019,12,15000,12,1,15,14056666,722851,58517,1915,86206,18918,972,19.45
"1005","Overwatch","First-Person Shooter",2020,1,11862,39,2,14,14476204,817235,53847,1706,91877,19483,1099,17.71
"1006","Overwatch","First-Person Shooter",2020,2,984,13,1,14,15337803,744064,89447,1648,83070,22068,1070,20.61
"1007","Overwatch","First-Person Shooter",2020,4,21150,20,1,21,13708585,875738,82477,2087,87545,19066,1217,15.65
"1008","Overwatch","First-Person Shooter",2020,5,225000,120,2,18,14819259,935781,142904,2434,87808,19945,1259,15.84
"1009","Overwatch","First-Person Shooter",2020,6,8e+05,191,5,18,15364110,819637,68028,1756,78735,21368,1139,18.75
"1010","Overwatch","First-Person Shooter",2020,7,305000,151,3,17,17368052,883835,70577,1879,81725,23375,1189,19.65
"1011","Overwatch","First-Person Shooter",2020,8,56375,80,2,18,12834847,826326,63488,2179,81557,17274,1112,15.53
"1012","Overwatch","First-Person Shooter",2020,9,950000,76,2,20,12981536,751471,58428,1725,74060,18054,1045,17.27
"1013","Overwatch","First-Person Shooter",2020,10,3225000,119,2,24,12686221,825098,71982,2489,83528,17074,1110,15.38
"1014","Overwatch","First-Person Shooter",2020,11,15190,29,1,28,12073850,749719,42175,1786,76572,16792,1042,16.1
"1015","Overwatch","First-Person Shooter",2020,12,248000,84,2,24,13597110,798761,95650,2056,82400,18300,1075,17.02
"1016","Overwatch","First-Person Shooter",2021,5,506640,93,3,26,12292040,770340,111114,2056,77905,16543,1036,15.96
"1017","Overwatch","First-Person Shooter",2021,6,225000,31,1,23,12330934,688517,73883,1664,71864,17150,957,17.91
"1018","Overwatch","First-Person Shooter",2021,7,225000,35,1,29,10952403,703256,49877,1776,73442,14740,946,15.57
"1019","Overwatch","First-Person Shooter",2021,8,225000,34,1,33,8981103,573820,43807,1227,59940,12087,772,15.65
"1020","Overwatch","First-Person Shooter",2021,9,3200000,71,1,34,8401428,521831,78397,1146,53834,11684,725,16.1
"1021","Overwatch","First-Person Shooter",2021,10,175000,60,1,36,8014815,527637,24865,1495,53751,10787,710,15.19
"1022","Overwatch","First-Person Shooter",2021,11,106640,15,1,41,8238742,463110,40289,1076,47800,11458,644,17.79
